patient_id,device_id,code,value,unit,ts
demo-patient-1,arduino-COM6,sound,162,raw,2026-01-30T08:00:00Z
demo-patient-1,arduino-COM6,sound,168,raw,2026-01-30T08:00:10Z
demo-patient-1,arduino-COM6,sound,175,raw,2026-01-30T08:00:20Z
demo-patient-1,arduino-COM6,sound,182,raw,2026-01-30T08:00:30Z
demo-patient-1,arduino-COM6,sound,188,raw,2026-01-30T08:00:40Z
demo-patient-1,arduino-COM6,sound,191,raw,2026-01-30T08:00:50Z
demo-patient-1,arduino-COM6,sound,205,raw,2026-01-30T08:01:00Z
demo-patient-1,arduino-COM6,sound,212,raw,2026-01-30T08:01:10Z
demo-patient-1,arduino-COM6,sound,198,raw,2026-01-30T08:01:20Z
demo-patient-1,arduino-COM6,sound,176,raw,2026-01-30T08:01:30Z
demo-patient-1,arduino-COM6,sound,170,raw,2026-01-30T08:01:40Z
demo-patient-1,arduino-COM6,sound,165,raw,2026-01-30T08:01:50Z
demo-patient-1,arduino-COM6,sound,172,raw,2026-01-30T08:02:00Z
demo-patient-1,arduino-COM6,sound,184,raw,2026-01-30T08:02:10Z
demo-patient-1,arduino-COM6,sound,189,raw,2026-01-30T08:02:20Z
demo-patient-1,arduino-COM6,sound,193,raw,2026-01-30T08:02:30Z
demo-patient-1,arduino-COM6,sound,208,raw,2026-01-30T08:02:40Z
demo-patient-1,arduino-COM6,sound,220,raw,2026-01-30T08:02:50Z
demo-patient-1,arduino-COM6,sound,201,raw,2026-01-30T08:03:00Z
demo-patient-1,arduino-COM6,sound,187,raw,2026-01-30T08:03:10Z
demo-patient-1,arduino-COM6,sound,179,raw,2026-01-30T08:03:20Z
demo-patient-1,arduino-COM6,sound,171,raw,2026-01-30T08:03:30Z
demo-patient-2,arduino-COM6,sound,160,raw,2026-01-30T09:15:00Z
demo-patient-2,arduino-COM6,sound,166,raw,2026-01-30T09:15:10Z
demo-patient-2,arduino-COM6,sound,173,raw,2026-01-30T09:15:20Z
demo-patient-2,arduino-COM6,sound,181,raw,2026-01-30T09:15:30Z
demo-patient-2,arduino-COM6,sound,190,raw,2026-01-30T09:15:40Z
demo-patient-2,arduino-COM6,sound,197,raw,2026-01-30T09:15:50Z
demo-patient-2,arduino-COM6,sound,210,raw,2026-01-30T09:16:00Z
demo-patient-2,arduino-COM6,sound,224,raw,2026-01-30T09:16:10Z
demo-patient-2,arduino-COM6,sound,206,raw,2026-01-30T09:16:20Z
demo-patient-2,arduino-COM6,sound,192,raw,2026-01-30T09:16:30Z
demo-patient-2,arduino-COM6,sound,185,raw,2026-01-30T09:16:40Z
demo-patient-2,arduino-COM6,sound,177,raw,2026-01-30T09:16:50Z
demo-patient-2,arduino-COM6,sound,169,raw,2026-01-30T09:17:00Z
demo-patient-2,arduino-COM6,sound,163,raw,2026-01-30T09:17:10Z
